"Id","period","days"
1503960366,"march-april",19
1644430081,"march-april",2
1844505072,"march-april",3
1927972279,"march-april",17
2022484408,"march-april",1
2026352035,"march-april",3
2347167796,"march-april",13
3977333714,"march-april",16
4020332650,"march-april",9
4319703577,"march-april",6
4445114986,"march-april",20
4558609924,"march-april",4
4702921684,"march-april",11
5553957443,"march-april",19
5577150313,"march-april",14
6117666160,"march-april",6
6775888955,"march-april",12
6962181067,"march-april",13
7007744171,"march-april",8
7086361926,"march-april",14
8378563200,"march-april",17
8792009665,"march-april",4
1503960366,"april-may",22
1644430081,"april-may",3
1927972279,"april-may",3
2026352035,"april-may",1
2320127002,"april-may",1
2347167796,"april-may",4
3977333714,"april-may",27
4020332650,"april-may",5
4319703577,"april-may",3
4388161847,"april-may",9
4445114986,"april-may",17
4558609924,"april-may",5
4702921684,"april-may",13
5553957443,"april-may",13
5577150313,"april-may",11
6117666160,"april-may",5
6775888955,"april-may",2
6962181067,"april-may",8
7007744171,"april-may",2
7086361926,"april-may",5
8053475328,"april-may",2
8378563200,"april-may",13
8792009665,"april-may",7
