"Id","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","period"
1503960366,"2016-03-13 00:00:00",1,411.0,426.0,"march-april"
1503960366,"2016-03-14 00:00:00",1,354.0,386.0,"march-april"
1503960366,"2016-03-15 00:00:00",1,312.0,335.0,"march-april"
1503960366,"2016-03-16 00:00:00",2,333.0,366.0,"march-april"
1503960366,"2016-03-17 00:00:00",1,402.0,437.0,"march-april"
1503960366,"2016-03-18 00:00:00",1,379.0,411.0,"march-april"
1503960366,"2016-03-19 00:00:00",1,447.0,468.0,"march-april"
1503960366,"2016-03-20 00:00:00",1,469.0,476.0,"march-april"
1503960366,"2016-03-21 00:00:00",1,390.0,427.0,"march-april"
1503960366,"2016-03-23 00:00:00",1,281.0,297.0,"march-april"
1503960366,"2016-03-24 00:00:00",1,303.0,344.0,"march-april"
1503960366,"2016-03-25 00:00:00",1,351.0,386.0,"march-april"
1503960366,"2016-03-26 00:00:00",2,437.0,472.0,"march-april"
1503960366,"2016-03-27 00:00:00",3,483.0,506.0,"march-april"
1503960366,"2016-03-28 00:00:00",1,73.0,77.0,"march-april"
1503960366,"2016-03-29 00:00:00",1,349.0,378.0,"march-april"
1503960366,"2016-03-31 00:00:00",1,308.0,336.0,"march-april"
1503960366,"2016-04-01 00:00:00",1,283.0,306.0,"march-april"
1503960366,"2016-04-02 00:00:00",1,439.0,509.0,"march-april"
1503960366,"2016-04-03 00:00:00",1,379.0,426.0,"march-april"
1503960366,"2016-04-04 00:00:00",1,294.0,337.0,"march-april"
1503960366,"2016-04-05 00:00:00",1,280.0,309.0,"march-april"
1503960366,"2016-04-09 00:00:00",1,380.0,407.0,"march-april"
1503960366,"2016-04-10 00:00:00",1,455.0,478.0,"march-april"
1503960366,"2016-04-11 00:00:00",1,310.0,329.0,"march-april"
1644430081,"2016-03-27 00:00:00",1,373.0,495.0,"march-april"
1644430081,"2016-03-28 00:00:00",1,466.0,466.0,"march-april"
1644430081,"2016-03-29 00:00:00",1,56.0,121.0,"march-april"
1644430081,"2016-03-30 00:00:00",1,538.0,840.0,"march-april"
1844505072,"2016-04-03 00:00:00",1,169.0,190.0,"march-april"
1844505072,"2016-04-04 00:00:00",1,771.0,771.0,"march-april"
1844505072,"2016-04-09 00:00:00",1,221.0,636.0,"march-april"
1844505072,"2016-04-10 00:00:00",1,277.0,325.0,"march-april"
1927972279,"2016-03-11 00:00:00",1,29.0,36.0,"march-april"
1927972279,"2016-03-12 00:00:00",3,608.0,628.0,"march-april"
1927972279,"2016-03-13 00:00:00",3,505.0,516.0,"march-april"
1927972279,"2016-03-14 00:00:00",2,173.0,179.0,"march-april"
1927972279,"2016-03-15 00:00:00",1,68.0,68.0,"march-april"
1927972279,"2016-03-16 00:00:00",3,599.0,645.0,"march-april"
1927972279,"2016-03-17 00:00:00",1,6.0,6.0,"march-april"
1927972279,"2016-03-18 00:00:00",3,523.0,553.0,"march-april"
1927972279,"2016-03-19 00:00:00",3,583.0,611.0,"march-april"
1927972279,"2016-03-20 00:00:00",3,548.0,576.0,"march-april"
1927972279,"2016-03-21 00:00:00",1,334.0,352.0,"march-april"
1927972279,"2016-03-22 00:00:00",1,379.0,394.0,"march-april"
1927972279,"2016-03-23 00:00:00",2,447.0,474.0,"march-april"
1927972279,"2016-03-24 00:00:00",2,428.0,437.0,"march-april"
1927972279,"2016-03-25 00:00:00",1,60.0,63.0,"march-april"
1927972279,"2016-03-26 00:00:00",1,387.0,406.0,"march-april"
1927972279,"2016-03-27 00:00:00",1,112.0,120.0,"march-april"
1927972279,"2016-03-28 00:00:00",1,219.0,226.0,"march-april"
1927972279,"2016-03-29 00:00:00",2,563.0,588.0,"march-april"
1927972279,"2016-03-30 00:00:00",2,401.0,404.0,"march-april"
1927972279,"2016-03-31 00:00:00",3,493.0,520.0,"march-april"
1927972279,"2016-04-01 00:00:00",1,369.0,383.0,"march-april"
1927972279,"2016-04-02 00:00:00",1,280.0,315.0,"march-april"
1927972279,"2016-04-03 00:00:00",1,107.0,111.0,"march-april"
1927972279,"2016-04-04 00:00:00",2,465.0,483.0,"march-april"
1927972279,"2016-04-05 00:00:00",1,393.0,420.0,"march-april"
1927972279,"2016-04-06 00:00:00",1,414.0,429.0,"march-april"
1927972279,"2016-04-09 00:00:00",1,39.0,47.0,"march-april"
1927972279,"2016-04-10 00:00:00",3,479.0,496.0,"march-april"
1927972279,"2016-04-11 00:00:00",2,496.0,525.0,"march-april"
1927972279,"2016-04-12 00:00:00",2,482.0,498.0,"march-april"
2022484408,"2016-03-13 00:00:00",1,135.0,144.0,"march-april"
2026352035,"2016-03-11 00:00:00",1,126.0,149.0,"march-april"
2026352035,"2016-03-12 00:00:00",2,540.0,572.0,"march-april"
2026352035,"2016-03-13 00:00:00",2,648.0,671.0,"march-april"
2026352035,"2016-03-14 00:00:00",2,510.0,538.0,"march-april"
2026352035,"2016-03-15 00:00:00",2,422.0,436.0,"march-april"
2026352035,"2016-03-16 00:00:00",1,144.0,163.0,"march-april"
2026352035,"2016-03-17 00:00:00",2,479.0,510.0,"march-april"
2026352035,"2016-03-18 00:00:00",2,575.0,611.0,"march-april"
2026352035,"2016-03-19 00:00:00",2,515.0,550.0,"march-april"
2026352035,"2016-03-20 00:00:00",2,545.0,588.0,"march-april"
2026352035,"2016-03-21 00:00:00",2,567.0,604.0,"march-april"
