"Id","ActivityHour","Calories","period"
1503960366,"2016-03-12 00:00:00",48,"march-april"
1503960366,"2016-03-12 01:00:00",48,"march-april"
1503960366,"2016-03-12 02:00:00",48,"march-april"
1503960366,"2016-03-12 03:00:00",48,"march-april"
1503960366,"2016-03-12 04:00:00",48,"march-april"
1503960366,"2016-03-12 05:00:00",48,"march-april"
1503960366,"2016-03-12 06:00:00",48,"march-april"
1503960366,"2016-03-12 07:00:00",48,"march-april"
1503960366,"2016-03-12 08:00:00",48,"march-april"
1503960366,"2016-03-12 09:00:00",49,"march-april"
1503960366,"2016-03-12 10:00:00",89,"march-april"
1503960366,"2016-03-12 11:00:00",134,"march-april"
1503960366,"2016-03-12 12:00:00",130,"march-april"
1503960366,"2016-03-12 13:00:00",81,"march-april"
1503960366,"2016-03-12 14:00:00",254,"march-april"
1503960366,"2016-03-12 15:00:00",271,"march-april"
1503960366,"2016-03-12 16:00:00",141,"march-april"
1503960366,"2016-03-12 17:00:00",104,"march-april"
1503960366,"2016-03-12 18:00:00",54,"march-april"
1503960366,"2016-03-12 19:00:00",97,"march-april"
1503960366,"2016-03-12 20:00:00",58,"march-april"
1503960366,"2016-03-12 21:00:00",100,"march-april"
1503960366,"2016-03-12 22:00:00",123,"march-april"
1503960366,"2016-03-12 23:00:00",111,"march-april"
1503960366,"2016-03-13 00:00:00",55,"march-april"
1503960366,"2016-03-13 01:00:00",48,"march-april"
1503960366,"2016-03-13 02:00:00",50,"march-april"
1503960366,"2016-03-13 03:00:00",48,"march-april"
1503960366,"2016-03-13 04:00:00",48,"march-april"
1503960366,"2016-03-13 05:00:00",48,"march-april"
1503960366,"2016-03-13 06:00:00",48,"march-april"
1503960366,"2016-03-13 07:00:00",49,"march-april"
1503960366,"2016-03-13 08:00:00",49,"march-april"
1503960366,"2016-03-13 09:00:00",56,"march-april"
1503960366,"2016-03-13 10:00:00",189,"march-april"
1503960366,"2016-03-13 11:00:00",270,"march-april"
1503960366,"2016-03-13 12:00:00",52,"march-april"
1503960366,"2016-03-13 13:00:00",66,"march-april"
1503960366,"2016-03-13 14:00:00",57,"march-april"
1503960366,"2016-03-13 15:00:00",89,"march-april"
1503960366,"2016-03-13 16:00:00",91,"march-april"
1503960366,"2016-03-13 17:00:00",61,"march-april"
1503960366,"2016-03-13 18:00:00",237,"march-april"
1503960366,"2016-03-13 19:00:00",146,"march-april"
1503960366,"2016-03-13 20:00:00",87,"march-april"
1503960366,"2016-03-13 21:00:00",66,"march-april"
1503960366,"2016-03-13 22:00:00",72,"march-april"
1503960366,"2016-03-13 23:00:00",118,"march-april"
1503960366,"2016-03-14 00:00:00",56,"march-april"
1503960366,"2016-03-14 01:00:00",54,"march-april"
1503960366,"2016-03-14 02:00:00",49,"march-april"
1503960366,"2016-03-14 03:00:00",48,"march-april"
1503960366,"2016-03-14 04:00:00",48,"march-april"
1503960366,"2016-03-14 05:00:00",49,"march-april"
1503960366,"2016-03-14 06:00:00",48,"march-april"
1503960366,"2016-03-14 07:00:00",53,"march-april"
1503960366,"2016-03-14 08:00:00",68,"march-april"
1503960366,"2016-03-14 09:00:00",199,"march-april"
1503960366,"2016-03-14 10:00:00",59,"march-april"
1503960366,"2016-03-14 11:00:00",72,"march-april"
1503960366,"2016-03-14 12:00:00",66,"march-april"
1503960366,"2016-03-14 13:00:00",54,"march-april"
1503960366,"2016-03-14 14:00:00",59,"march-april"
1503960366,"2016-03-14 15:00:00",71,"march-april"
1503960366,"2016-03-14 16:00:00",68,"march-april"
1503960366,"2016-03-14 17:00:00",76,"march-april"
1503960366,"2016-03-14 18:00:00",96,"march-april"
1503960366,"2016-03-14 19:00:00",100,"march-april"
1503960366,"2016-03-14 20:00:00",124,"march-april"
1503960366,"2016-03-14 21:00:00",67,"march-april"
1503960366,"2016-03-14 22:00:00",48,"march-april"
1503960366,"2016-03-14 23:00:00",198,"march-april"
1503960366,"2016-03-15 00:00:00",56,"march-april"
1503960366,"2016-03-15 01:00:00",55,"march-april"
1503960366,"2016-03-15 02:00:00",54,"march-april"
1503960366,"2016-03-15 03:00:00",48,"march-april"
1503960366,"2016-03-15 04:00:00",49,"march-april"
1503960366,"2016-03-15 05:00:00",48,"march-april"
1503960366,"2016-03-15 06:00:00",49,"march-april"
1503960366,"2016-03-15 07:00:00",49,"march-april"
1503960366,"2016-03-15 08:00:00",91,"march-april"
1503960366,"2016-03-15 09:00:00",148,"march-april"
1503960366,"2016-03-15 10:00:00",92,"march-april"
1503960366,"2016-03-15 11:00:00",104,"march-april"
1503960366,"2016-03-15 12:00:00",142,"march-april"
1503960366,"2016-03-15 13:00:00",77,"march-april"
1503960366,"2016-03-15 14:00:00",107,"march-april"
1503960366,"2016-03-15 15:00:00",77,"march-april"
1503960366,"2016-03-15 16:00:00",96,"march-april"
1503960366,"2016-03-15 17:00:00",90,"march-april"
1503960366,"2016-03-15 18:00:00",82,"march-april"
1503960366,"2016-03-15 19:00:00",75,"march-april"
1503960366,"2016-03-15 20:00:00",207,"march-april"
1503960366,"2016-03-15 21:00:00",131,"march-april"
1503960366,"2016-03-15 22:00:00",108,"march-april"
1503960366,"2016-03-15 23:00:00",76,"march-april"
1503960366,"2016-03-16 00:00:00",48,"march-april"
1503960366,"2016-03-16 01:00:00",48,"march-april"
1503960366,"2016-03-16 02:00:00",50,"march-april"
1503960366,"2016-03-16 03:00:00",48,"march-april"
1503960366,"2016-03-16 04:00:00",48,"march-april"
1503960366,"2016-03-16 05:00:00",49,"march-april"
1503960366,"2016-03-16 06:00:00",48,"march-april"
1503960366,"2016-03-16 07:00:00",56,"march-april"
1503960366,"2016-03-16 08:00:00",91,"march-april"
1503960366,"2016-03-16 09:00:00",125,"march-april"
1503960366,"2016-03-16 10:00:00",73,"march-april"
1503960366,"2016-03-16 11:00:00",105,"march-april"
1503960366,"2016-03-16 12:00:00",124,"march-april"
1503960366,"2016-03-16 13:00:00",79,"march-april"
1503960366,"2016-03-16 14:00:00",61,"march-april"
1503960366,"2016-03-16 15:00:00",86,"march-april"
1503960366,"2016-03-16 16:00:00",103,"march-april"
1503960366,"2016-03-16 17:00:00",122,"march-april"
1503960366,"2016-03-16 18:00:00",166,"march-april"
1503960366,"2016-03-16 19:00:00",59,"march-april"
1503960366,"2016-03-16 20:00:00",72,"march-april"
1503960366,"2016-03-16 21:00:00",146,"march-april"
1503960366,"2016-03-16 22:00:00",78,"march-april"
1503960366,"2016-03-16 23:00:00",82,"march-april"
1503960366,"2016-03-17 00:00:00",70,"march-april"
1503960366,"2016-03-17 01:00:00",50,"march-april"
1503960366,"2016-03-17 02:00:00",49,"march-april"
1503960366,"2016-03-17 03:00:00",48,"march-april"
1503960366,"2016-03-17 04:00:00",48,"march-april"
1503960366,"2016-03-17 05:00:00",48,"march-april"
1503960366,"2016-03-17 06:00:00",49,"march-april"
1503960366,"2016-03-17 07:00:00",50,"march-april"
1503960366,"2016-03-17 08:00:00",67,"march-april"
1503960366,"2016-03-17 09:00:00",125,"march-april"
1503960366,"2016-03-17 10:00:00",69,"march-april"
1503960366,"2016-03-17 11:00:00",148,"march-april"
1503960366,"2016-03-17 12:00:00",70,"march-april"
1503960366,"2016-03-17 13:00:00",113,"march-april"
1503960366,"2016-03-17 14:00:00",119,"march-april"
1503960366,"2016-03-17 15:00:00",86,"march-april"
1503960366,"2016-03-17 16:00:00",94,"march-april"
1503960366,"2016-03-17 17:00:00",66,"march-april"
1503960366,"2016-03-17 18:00:00",76,"march-april"
1503960366,"2016-03-17 19:00:00",158,"march-april"
1503960366,"2016-03-17 20:00:00",75,"march-april"
1503960366,"2016-03-17 21:00:00",146,"march-april"
1503960366,"2016-03-17 22:00:00",97,"march-april"
1503960366,"2016-03-17 23:00:00",118,"march-april"
1503960366,"2016-03-18 00:00:00",76,"march-april"
1503960366,"2016-03-18 01:00:00",58,"march-april"
1503960366,"2016-03-18 02:00:00",48,"march-april"
1503960366,"2016-03-18 03:00:00",48,"march-april"
1503960366,"2016-03-18 04:00:00",48,"march-april"
1503960366,"2016-03-18 05:00:00",49,"march-april"
1503960366,"2016-03-18 06:00:00",51,"march-april"
1503960366,"2016-03-18 07:00:00",49,"march-april"
1503960366,"2016-03-18 08:00:00",67,"march-april"
1503960366,"2016-03-18 09:00:00",147,"march-april"
1503960366,"2016-03-18 10:00:00",73,"march-april"
1503960366,"2016-03-18 11:00:00",72,"march-april"
1503960366,"2016-03-18 12:00:00",64,"march-april"
1503960366,"2016-03-18 13:00:00",68,"march-april"
1503960366,"2016-03-18 14:00:00",207,"march-april"
1503960366,"2016-03-18 15:00:00",101,"march-april"
1503960366,"2016-03-18 16:00:00",76,"march-april"
1503960366,"2016-03-18 17:00:00",59,"march-april"
1503960366,"2016-03-18 18:00:00",82,"march-april"
1503960366,"2016-03-18 19:00:00",238,"march-april"
1503960366,"2016-03-18 20:00:00",121,"march-april"
1503960366,"2016-03-18 21:00:00",72,"march-april"
1503960366,"2016-03-18 22:00:00",54,"march-april"
1503960366,"2016-03-18 23:00:00",74,"march-april"
1503960366,"2016-03-19 00:00:00",57,"march-april"
1503960366,"2016-03-19 01:00:00",48,"march-april"
1503960366,"2016-03-19 02:00:00",48,"march-april"
1503960366,"2016-03-19 03:00:00",49,"march-april"
1503960366,"2016-03-19 04:00:00",48,"march-april"
1503960366,"2016-03-19 05:00:00",48,"march-april"
1503960366,"2016-03-19 06:00:00",49,"march-april"
1503960366,"2016-03-19 07:00:00",52,"march-april"
1503960366,"2016-03-19 08:00:00",92,"march-april"
1503960366,"2016-03-19 09:00:00",216,"march-april"
1503960366,"2016-03-19 10:00:00",148,"march-april"
1503960366,"2016-03-19 11:00:00",130,"march-april"
1503960366,"2016-03-19 12:00:00",109,"march-april"
1503960366,"2016-03-19 13:00:00",74,"march-april"
1503960366,"2016-03-19 14:00:00",71,"march-april"
1503960366,"2016-03-19 15:00:00",61,"march-april"
1503960366,"2016-03-19 16:00:00",63,"march-april"
1503960366,"2016-03-19 17:00:00",69,"march-april"
1503960366,"2016-03-19 18:00:00",58,"march-april"
1503960366,"2016-03-19 19:00:00",92,"march-april"
1503960366,"2016-03-19 20:00:00",86,"march-april"
1503960366,"2016-03-19 21:00:00",58,"march-april"
1503960366,"2016-03-19 22:00:00",97,"march-april"
1503960366,"2016-03-19 23:00:00",234,"march-april"
1503960366,"2016-03-20 00:00:00",64,"march-april"
1503960366,"2016-03-20 01:00:00",49,"march-april"
1503960366,"2016-03-20 02:00:00",48,"march-april"
1503960366,"2016-03-20 03:00:00",48,"march-april"
1503960366,"2016-03-20 04:00:00",48,"march-april"
1503960366,"2016-03-20 05:00:00",48,"march-april"
1503960366,"2016-03-20 06:00:00",48,"march-april"
1503960366,"2016-03-20 07:00:00",48,"march-april"
1503960366,"2016-03-20 08:00:00",48,"march-april"
1503960366,"2016-03-20 09:00:00",119,"march-april"
1503960366,"2016-03-20 10:00:00",294,"march-april"
1503960366,"2016-03-20 11:00:00",121,"march-april"
1503960366,"2016-03-20 12:00:00",82,"march-april"
1503960366,"2016-03-20 13:00:00",80,"march-april"
1503960366,"2016-03-20 14:00:00",96,"march-april"
1503960366,"2016-03-20 15:00:00",109,"march-april"
1503960366,"2016-03-20 16:00:00",116,"march-april"
1503960366,"2016-03-20 17:00:00",142,"march-april"
1503960366,"2016-03-20 18:00:00",104,"march-april"
1503960366,"2016-03-20 19:00:00",109,"march-april"
1503960366,"2016-03-20 20:00:00",76,"march-april"
1503960366,"2016-03-20 21:00:00",55,"march-april"
1503960366,"2016-03-20 22:00:00",57,"march-april"
1503960366,"2016-03-20 23:00:00",87,"march-april"
1503960366,"2016-03-21 00:00:00",58,"march-april"
1503960366,"2016-03-21 01:00:00",48,"march-april"
1503960366,"2016-03-21 02:00:00",48,"march-april"
1503960366,"2016-03-21 03:00:00",50,"march-april"
1503960366,"2016-03-21 04:00:00",48,"march-april"
1503960366,"2016-03-21 05:00:00",48,"march-april"
1503960366,"2016-03-21 06:00:00",48,"march-april"
1503960366,"2016-03-21 07:00:00",56,"march-april"
1503960366,"2016-03-21 08:00:00",116,"march-april"
1503960366,"2016-03-21 09:00:00",104,"march-april"
1503960366,"2016-03-21 10:00:00",79,"march-april"
1503960366,"2016-03-21 11:00:00",82,"march-april"
1503960366,"2016-03-21 12:00:00",142,"march-april"
1503960366,"2016-03-21 13:00:00",67,"march-april"
1503960366,"2016-03-21 14:00:00",79,"march-april"
1503960366,"2016-03-21 15:00:00",83,"march-april"
1503960366,"2016-03-21 16:00:00",83,"march-april"
1503960366,"2016-03-21 17:00:00",99,"march-april"
1503960366,"2016-03-21 18:00:00",132,"march-april"
1503960366,"2016-03-21 19:00:00",79,"march-april"
1503960366,"2016-03-21 20:00:00",67,"march-april"
1503960366,"2016-03-21 21:00:00",70,"march-april"
1503960366,"2016-03-21 22:00:00",81,"march-april"
1503960366,"2016-03-21 23:00:00",79,"march-april"
1503960366,"2016-03-22 00:00:00",47,"march-april"
1503960366,"2016-03-22 01:00:00",47,"march-april"
1503960366,"2016-03-22 02:00:00",47,"march-april"
1503960366,"2016-03-22 03:00:00",47,"march-april"
1503960366,"2016-03-22 04:00:00",47,"march-april"
1503960366,"2016-03-22 05:00:00",47,"march-april"
1503960366,"2016-03-22 06:00:00",47,"march-april"
1503960366,"2016-03-22 07:00:00",47,"march-april"
1503960366,"2016-03-22 08:00:00",50,"march-april"
1503960366,"2016-03-22 09:00:00",135,"march-april"
1503960366,"2016-03-22 10:00:00",90,"march-april"
1503960366,"2016-03-22 11:00:00",76,"march-april"
1503960366,"2016-03-22 12:00:00",78,"march-april"
1503960366,"2016-03-22 13:00:00",95,"march-april"
1503960366,"2016-03-22 14:00:00",134,"march-april"
1503960366,"2016-03-22 15:00:00",80,"march-april"
1503960366,"2016-03-22 16:00:00",71,"march-april"
1503960366,"2016-03-22 17:00:00",107,"march-april"
