"Id","ActivityHour","TotalIntensity","AverageIntensity","period"
1503960366,"2016-03-12 00:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 01:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 02:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 03:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 04:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 05:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 06:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 07:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 08:00:00",0,0.0,"march-april"
1503960366,"2016-03-12 09:00:00",1,0.0,"march-april"
1503960366,"2016-03-12 10:00:00",26,0.0,"march-april"
1503960366,"2016-03-12 11:00:00",49,1.0,"march-april"
1503960366,"2016-03-12 12:00:00",47,1.0,"march-april"
1503960366,"2016-03-12 13:00:00",20,0.0,"march-april"
1503960366,"2016-03-12 14:00:00",121,2.0,"march-april"
1503960366,"2016-03-12 15:00:00",129,2.0,"march-april"
1503960366,"2016-03-12 16:00:00",42,1.0,"march-april"
1503960366,"2016-03-12 17:00:00",20,0.0,"march-april"
1503960366,"2016-03-12 18:00:00",2,0.0,"march-april"
1503960366,"2016-03-12 19:00:00",30,1.0,"march-april"
1503960366,"2016-03-12 20:00:00",4,0.0,"march-april"
1503960366,"2016-03-12 21:00:00",29,0.0,"march-april"
1503960366,"2016-03-12 22:00:00",41,1.0,"march-april"
1503960366,"2016-03-12 23:00:00",35,1.0,"march-april"
1503960366,"2016-03-13 00:00:00",3,0.0,"march-april"
1503960366,"2016-03-13 01:00:00",0,0.0,"march-april"
1503960366,"2016-03-13 02:00:00",1,0.0,"march-april"
1503960366,"2016-03-13 03:00:00",0,0.0,"march-april"
1503960366,"2016-03-13 04:00:00",0,0.0,"march-april"
1503960366,"2016-03-13 05:00:00",0,0.0,"march-april"
1503960366,"2016-03-13 06:00:00",0,0.0,"march-april"
1503960366,"2016-03-13 07:00:00",0,0.0,"march-april"
1503960366,"2016-03-13 08:00:00",1,0.0,"march-april"
1503960366,"2016-03-13 09:00:00",5,0.0,"march-april"
1503960366,"2016-03-13 10:00:00",85,1.0,"march-april"
1503960366,"2016-03-13 11:00:00",130,2.0,"march-april"
1503960366,"2016-03-13 12:00:00",3,0.0,"march-april"
1503960366,"2016-03-13 13:00:00",9,0.0,"march-april"
1503960366,"2016-03-13 14:00:00",3,0.0,"march-april"
1503960366,"2016-03-13 15:00:00",23,0.0,"march-april"
1503960366,"2016-03-13 16:00:00",25,0.0,"march-april"
1503960366,"2016-03-13 17:00:00",5,0.0,"march-april"
1503960366,"2016-03-13 18:00:00",110,2.0,"march-april"
1503960366,"2016-03-13 19:00:00",57,1.0,"march-april"
1503960366,"2016-03-13 20:00:00",25,0.0,"march-april"
1503960366,"2016-03-13 21:00:00",9,0.0,"march-april"
1503960366,"2016-03-13 22:00:00",17,0.0,"march-april"
1503960366,"2016-03-13 23:00:00",46,1.0,"march-april"
1503960366,"2016-03-14 00:00:00",4,0.0,"march-april"
1503960366,"2016-03-14 01:00:00",3,0.0,"march-april"
1503960366,"2016-03-14 02:00:00",0,0.0,"march-april"
1503960366,"2016-03-14 03:00:00",0,0.0,"march-april"
1503960366,"2016-03-14 04:00:00",0,0.0,"march-april"
1503960366,"2016-03-14 05:00:00",0,0.0,"march-april"
1503960366,"2016-03-14 06:00:00",0,0.0,"march-april"
1503960366,"2016-03-14 07:00:00",3,0.0,"march-april"
1503960366,"2016-03-14 08:00:00",14,0.0,"march-april"
1503960366,"2016-03-14 09:00:00",61,1.0,"march-april"
1503960366,"2016-03-14 10:00:00",4,0.0,"march-april"
1503960366,"2016-03-14 11:00:00",14,0.0,"march-april"
1503960366,"2016-03-14 12:00:00",9,0.0,"march-april"
1503960366,"2016-03-14 13:00:00",1,0.0,"march-april"
1503960366,"2016-03-14 14:00:00",6,0.0,"march-april"
1503960366,"2016-03-14 15:00:00",13,0.0,"march-april"
1503960366,"2016-03-14 16:00:00",11,0.0,"march-april"
1503960366,"2016-03-14 17:00:00",17,0.0,"march-april"
1503960366,"2016-03-14 18:00:00",29,0.0,"march-april"
1503960366,"2016-03-14 19:00:00",33,1.0,"march-april"
1503960366,"2016-03-14 20:00:00",45,1.0,"march-april"
1503960366,"2016-03-14 21:00:00",12,0.0,"march-april"
1503960366,"2016-03-14 22:00:00",0,0.0,"march-april"
1503960366,"2016-03-14 23:00:00",90,2.0,"march-april"
1503960366,"2016-03-15 00:00:00",3,0.0,"march-april"
1503960366,"2016-03-15 01:00:00",2,0.0,"march-april"
1503960366,"2016-03-15 02:00:00",4,0.0,"march-april"
1503960366,"2016-03-15 03:00:00",0,0.0,"march-april"
1503960366,"2016-03-15 04:00:00",1,0.0,"march-april"
1503960366,"2016-03-15 05:00:00",0,0.0,"march-april"
1503960366,"2016-03-15 06:00:00",1,0.0,"march-april"
1503960366,"2016-03-15 07:00:00",1,0.0,"march-april"
1503960366,"2016-03-15 08:00:00",28,0.0,"march-april"
1503960366,"2016-03-15 09:00:00",49,1.0,"march-april"
1503960366,"2016-03-15 10:00:00",17,0.0,"march-april"
1503960366,"2016-03-15 11:00:00",34,1.0,"march-april"
1503960366,"2016-03-15 12:00:00",49,1.0,"march-april"
1503960366,"2016-03-15 13:00:00",16,0.0,"march-april"
1503960366,"2016-03-15 14:00:00",26,0.0,"march-april"
1503960366,"2016-03-15 15:00:00",14,0.0,"march-april"
1503960366,"2016-03-15 16:00:00",27,0.0,"march-april"
1503960366,"2016-03-15 17:00:00",19,0.0,"march-april"
1503960366,"2016-03-15 18:00:00",15,0.0,"march-april"
1503960366,"2016-03-15 19:00:00",16,0.0,"march-april"
1503960366,"2016-03-15 20:00:00",86,1.0,"march-april"
1503960366,"2016-03-15 21:00:00",35,1.0,"march-april"
1503960366,"2016-03-15 22:00:00",37,1.0,"march-april"
1503960366,"2016-03-15 23:00:00",15,0.0,"march-april"
1503960366,"2016-03-16 00:00:00",0,0.0,"march-april"
1503960366,"2016-03-16 01:00:00",0,0.0,"march-april"
1503960366,"2016-03-16 02:00:00",1,0.0,"march-april"
1503960366,"2016-03-16 03:00:00",0,0.0,"march-april"
1503960366,"2016-03-16 04:00:00",0,0.0,"march-april"
1503960366,"2016-03-16 05:00:00",0,0.0,"march-april"
1503960366,"2016-03-16 06:00:00",0,0.0,"march-april"
1503960366,"2016-03-16 07:00:00",6,0.0,"march-april"
1503960366,"2016-03-16 08:00:00",27,0.0,"march-april"
1503960366,"2016-03-16 09:00:00",27,0.0,"march-april"
1503960366,"2016-03-16 10:00:00",12,0.0,"march-april"
1503960366,"2016-03-16 11:00:00",36,1.0,"march-april"
1503960366,"2016-03-16 12:00:00",34,1.0,"march-april"
1503960366,"2016-03-16 13:00:00",16,0.0,"march-april"
1503960366,"2016-03-16 14:00:00",3,0.0,"march-april"
1503960366,"2016-03-16 15:00:00",19,0.0,"march-april"
1503960366,"2016-03-16 16:00:00",28,0.0,"march-april"
1503960366,"2016-03-16 17:00:00",43,1.0,"march-april"
1503960366,"2016-03-16 18:00:00",74,1.0,"march-april"
