"Id","ActivityHour","StepTotal","period"
1503960366,"2016-03-12 00:00:00",0,"march-april"
1503960366,"2016-03-12 01:00:00",0,"march-april"
1503960366,"2016-03-12 02:00:00",0,"march-april"
1503960366,"2016-03-12 03:00:00",0,"march-april"
1503960366,"2016-03-12 04:00:00",0,"march-april"
1503960366,"2016-03-12 05:00:00",0,"march-april"
1503960366,"2016-03-12 06:00:00",0,"march-april"
1503960366,"2016-03-12 07:00:00",0,"march-april"
1503960366,"2016-03-12 08:00:00",0,"march-april"
1503960366,"2016-03-12 09:00:00",8,"march-april"
1503960366,"2016-03-12 10:00:00",551,"march-april"
1503960366,"2016-03-12 11:00:00",1764,"march-april"
1503960366,"2016-03-12 12:00:00",1259,"march-april"
1503960366,"2016-03-12 13:00:00",253,"march-april"
1503960366,"2016-03-12 14:00:00",4470,"march-april"
1503960366,"2016-03-12 15:00:00",4919,"march-april"
1503960366,"2016-03-12 16:00:00",1905,"march-april"
1503960366,"2016-03-12 17:00:00",1038,"march-april"
1503960366,"2016-03-12 18:00:00",14,"march-april"
1503960366,"2016-03-12 19:00:00",606,"march-april"
1503960366,"2016-03-12 20:00:00",56,"march-april"
1503960366,"2016-03-12 21:00:00",782,"march-april"
1503960366,"2016-03-12 22:00:00",1132,"march-april"
1503960366,"2016-03-12 23:00:00",918,"march-april"
1503960366,"2016-03-13 00:00:00",39,"march-april"
1503960366,"2016-03-13 01:00:00",0,"march-april"
1503960366,"2016-03-13 02:00:00",27,"march-april"
1503960366,"2016-03-13 03:00:00",0,"march-april"
1503960366,"2016-03-13 04:00:00",0,"march-april"
1503960366,"2016-03-13 05:00:00",0,"march-april"
1503960366,"2016-03-13 06:00:00",0,"march-april"
1503960366,"2016-03-13 07:00:00",0,"march-april"
1503960366,"2016-03-13 08:00:00",6,"march-april"
1503960366,"2016-03-13 09:00:00",73,"march-april"
1503960366,"2016-03-13 10:00:00",2850,"march-april"
1503960366,"2016-03-13 11:00:00",4854,"march-april"
1503960366,"2016-03-13 12:00:00",24,"march-april"
1503960366,"2016-03-13 13:00:00",118,"march-april"
1503960366,"2016-03-13 14:00:00",19,"march-april"
1503960366,"2016-03-13 15:00:00",510,"march-april"
1503960366,"2016-03-13 16:00:00",510,"march-april"
1503960366,"2016-03-13 17:00:00",96,"march-april"
1503960366,"2016-03-13 18:00:00",4100,"march-april"
1503960366,"2016-03-13 19:00:00",1756,"march-april"
1503960366,"2016-03-13 20:00:00",477,"march-april"
1503960366,"2016-03-13 21:00:00",147,"march-april"
1503960366,"2016-03-13 22:00:00",214,"march-april"
1503960366,"2016-03-13 23:00:00",1286,"march-april"
1503960366,"2016-03-14 00:00:00",54,"march-april"
1503960366,"2016-03-14 01:00:00",53,"march-april"
1503960366,"2016-03-14 02:00:00",0,"march-april"
1503960366,"2016-03-14 03:00:00",0,"march-april"
1503960366,"2016-03-14 04:00:00",0,"march-april"
1503960366,"2016-03-14 05:00:00",0,"march-april"
1503960366,"2016-03-14 06:00:00",0,"march-april"
1503960366,"2016-03-14 07:00:00",53,"march-april"
1503960366,"2016-03-14 08:00:00",212,"march-april"
1503960366,"2016-03-14 09:00:00",2832,"march-april"
1503960366,"2016-03-14 10:00:00",43,"march-april"
1503960366,"2016-03-14 11:00:00",220,"march-april"
1503960366,"2016-03-14 12:00:00",181,"march-april"
1503960366,"2016-03-14 13:00:00",12,"march-april"
1503960366,"2016-03-14 14:00:00",44,"march-april"
1503960366,"2016-03-14 15:00:00",205,"march-april"
1503960366,"2016-03-14 16:00:00",152,"march-april"
1503960366,"2016-03-14 17:00:00",226,"march-april"
1503960366,"2016-03-14 18:00:00",516,"march-april"
1503960366,"2016-03-14 19:00:00",559,"march-april"
1503960366,"2016-03-14 20:00:00",1104,"march-april"
1503960366,"2016-03-14 21:00:00",252,"march-april"
1503960366,"2016-03-14 22:00:00",0,"march-april"
1503960366,"2016-03-14 23:00:00",3305,"march-april"
1503960366,"2016-03-15 00:00:00",33,"march-april"
1503960366,"2016-03-15 01:00:00",20,"march-april"
1503960366,"2016-03-15 02:00:00",60,"march-april"
1503960366,"2016-03-15 03:00:00",0,"march-april"
1503960366,"2016-03-15 04:00:00",7,"march-april"
1503960366,"2016-03-15 05:00:00",0,"march-april"
1503960366,"2016-03-15 06:00:00",4,"march-april"
1503960366,"2016-03-15 07:00:00",11,"march-april"
1503960366,"2016-03-15 08:00:00",470,"march-april"
1503960366,"2016-03-15 09:00:00",1967,"march-april"
1503960366,"2016-03-15 10:00:00",729,"march-april"
1503960366,"2016-03-15 11:00:00",659,"march-april"
1503960366,"2016-03-15 12:00:00",1787,"march-april"
1503960366,"2016-03-15 13:00:00",333,"march-april"
1503960366,"2016-03-15 14:00:00",980,"march-april"
1503960366,"2016-03-15 15:00:00",371,"march-april"
1503960366,"2016-03-15 16:00:00",605,"march-april"
1503960366,"2016-03-15 17:00:00",623,"march-april"
1503960366,"2016-03-15 18:00:00",467,"march-april"
1503960366,"2016-03-15 19:00:00",282,"march-april"
1503960366,"2016-03-15 20:00:00",3319,"march-april"
1503960366,"2016-03-15 21:00:00",1558,"march-april"
1503960366,"2016-03-15 22:00:00",786,"march-april"
1503960366,"2016-03-15 23:00:00",313,"march-april"
1503960366,"2016-03-16 00:00:00",0,"march-april"
